Date : 2023-11-26 12:23:39
Directory : c:\xampp\htdocs\usuariosHB\resources\views
Total : 110 files,  7949 codes, 216 comments, 580 blanks, all 8745 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| PHP      |        110 |      7,949 |        216 |        580 |      8,745 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |        110 |      7,949 |        216 |        580 |      8,745 |
| . (Files)                                                                                   |          2 |        118 |          0 |         24 |        142 |
| ..                                                                                          |         22 |       -376 |        -26 |       -124 |       -526 |
| ..\..                                                                                       |         22 |       -376 |        -26 |       -124 |       -526 |
| ..\..\app                                                                                   |         22 |       -376 |        -26 |       -124 |       -526 |
| ..\..\app\Models                                                                            |         22 |       -376 |        -26 |       -124 |       -526 |
| auth                                                                                        |          2 |         92 |          0 |         39 |        131 |
| layouts                                                                                     |          2 |        535 |          0 |         15 |        550 |
| patologia                                                                                   |         79 |      7,324 |        242 |        621 |      8,187 |
| patologia\areas                                                                             |          4 |        246 |          0 |         26 |        272 |
| patologia\detallef1s                                                                        |          3 |        187 |          0 |         17 |        204 |
| patologia\detallef2s                                                                        |          3 |        187 |          0 |         17 |        204 |
| patologia\detallef3citos                                                                    |          3 |        187 |          0 |         17 |        204 |
| patologia\diagnosticos                                                                      |          4 |        234 |          4 |         23 |        261 |
| patologia\distritos                                                                         |          4 |        241 |          0 |         24 |        265 |
| patologia\establecimientos                                                                  |          4 |        241 |          0 |         25 |        266 |
| patologia\formulario1                                                                       |          4 |        446 |          9 |         38 |        493 |
| patologia\formulario2                                                                       |          4 |        412 |          9 |         41 |        462 |
| patologia\formulario3cito                                                                   |          4 |        425 |          9 |         37 |        471 |
| patologia\medicos                                                                           |          4 |        484 |         10 |         31 |        525 |
| patologia\municipios                                                                        |          4 |        247 |          0 |         24 |        271 |
| patologia\pacientes                                                                         |          4 |        488 |          5 |         32 |        525 |
| patologia\resultadof1s                                                                      |          6 |        875 |         32 |         66 |        973 |
| patologia\resultadof2s                                                                      |          6 |        879 |         32 |         66 |        977 |
| patologia\resultadof3citos                                                                  |          6 |        821 |        132 |         65 |      1,018 |
| patologia\secretariaregional                                                                |          4 |        250 |          0 |         26 |        276 |
| patologia\sector                                                                            |          4 |        247 |          0 |         24 |        271 |
| patologia\servicios                                                                         |          4 |        227 |          0 |         22 |        249 |
| sistemas                                                                                    |          3 |        256 |          0 |          5 |        261 |
| sistemas\personas                                                                           |          1 |         88 |          0 |          2 |         90 |
| sistemas\roles                                                                              |          1 |         88 |          0 |          2 |         90 |
| sistemas\usuarios                                                                           |          1 |         80 |          0 |          1 |         81 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                    | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\xampp\htdocs\usuariosHB\app\Models\Area.php                                              | PHP      |        -10 |          0 |         -5 |        -15 |
| c:\xampp\htdocs\usuariosHB\app\Models\Detallef1s.php                                        | PHP      |        -20 |         -1 |         -7 |        -28 |
| c:\xampp\htdocs\usuariosHB\app\Models\Detallef2s.php                                        | PHP      |        -20 |         -1 |         -7 |        -28 |
| c:\xampp\htdocs\usuariosHB\app\Models\Detallef3cito.php                                     | PHP      |        -21 |         -1 |         -7 |        -29 |
| c:\xampp\htdocs\usuariosHB\app\Models\Diagnostico.php                                       | PHP      |        -14 |          0 |         -6 |        -20 |
| c:\xampp\htdocs\usuariosHB\app\Models\Distrito.php                                          | PHP      |        -10 |          0 |         -4 |        -14 |
| c:\xampp\htdocs\usuariosHB\app\Models\Establecimiento.php                                   | PHP      |        -10 |          0 |         -4 |        -14 |
| c:\xampp\htdocs\usuariosHB\app\Models\Formulario1.php                                       | PHP      |        -28 |          0 |         -7 |        -35 |
| c:\xampp\htdocs\usuariosHB\app\Models\Formulario2.php                                       | PHP      |        -32 |          0 |         -6 |        -38 |
| c:\xampp\htdocs\usuariosHB\app\Models\Formulario3cito.php                                   | PHP      |        -32 |          0 |         -6 |        -38 |
| c:\xampp\htdocs\usuariosHB\app\Models\Medico.php                                            | PHP      |        -13 |         -4 |         -6 |        -23 |
| c:\xampp\htdocs\usuariosHB\app\Models\Municipio.php                                         | PHP      |        -11 |          0 |         -6 |        -17 |
| c:\xampp\htdocs\usuariosHB\app\Models\Paciente.php                                          | PHP      |        -17 |          0 |         -7 |        -24 |
| c:\xampp\htdocs\usuariosHB\app\Models\Persona.php                                           | PHP      |         -8 |          0 |         -4 |        -12 |
| c:\xampp\htdocs\usuariosHB\app\Models\Resultadof1s.php                                      | PHP      |        -19 |         -1 |         -6 |        -26 |
| c:\xampp\htdocs\usuariosHB\app\Models\Resultadof2s.php                                      | PHP      |        -20 |         -1 |         -6 |        -27 |
| c:\xampp\htdocs\usuariosHB\app\Models\Resultadof3cito.php                                   | PHP      |        -28 |         -1 |         -6 |        -35 |
| c:\xampp\htdocs\usuariosHB\app\Models\Role.php                                              | PHP      |         -8 |          0 |         -4 |        -12 |
| c:\xampp\htdocs\usuariosHB\app\Models\Secretariaregional.php                                | PHP      |        -10 |          0 |         -4 |        -14 |
| c:\xampp\htdocs\usuariosHB\app\Models\Sector.php                                            | PHP      |        -10 |          0 |         -4 |        -14 |
| c:\xampp\htdocs\usuariosHB\app\Models\Servicio.php                                          | PHP      |        -10 |          0 |         -4 |        -14 |
| c:\xampp\htdocs\usuariosHB\app\Models\User.php                                              | PHP      |        -25 |        -16 |         -8 |        -49 |
| c:\xampp\htdocs\usuariosHB\resources\views\auth\login.blade.php                             | PHP      |         54 |          0 |         20 |         74 |
| c:\xampp\htdocs\usuariosHB\resources\views\auth\register.blade.php                          | PHP      |         38 |          0 |         19 |         57 |
